idhh	idperson	idpartner	idmother	idfather	dct	dwt	dag	dec	les	yem	dgn	lhw	dms	loc	yse	yiy	poa	ddi	boa	poa00	yseev 
1	101	102	0	0	0	10	65	0	4	0	1	-1	2	5	0	0	2017.54625	0	2017.54625	2017.54625	0
1	102	101	0	0	0	10	60	0	7	0	0	-1	2	-1	0	0	0	0	0	0	0
1	103	0	102	101	0	10	30	0	5	0	1	-1	1	-1	0	0	0	0	0	0	0
1	104	0	102	101	0	10	28	0	6	157.4188	1	-1	1	7	0	0	0	0	0	0	0
2	201	202	0	0	0	10	29	0	3	1075.353	1	48	2	5	0	0	0	0	0	0	0
2	202	201	0	0	0	10	25	0	3	951.3614	0	48	2	7	0	0	0	0	0	0	0
2	203	0	202	201	0	10	3	0	0	0	0	-1	1	-1	0	0	0	0	0	0	0
2	204	0	202	201	0	10	2	0	0	0	1	-1	1	-1	0	0	0	0	0	0	0
3	301	302	0	0	0	10	72	0	2	0	1	40	2	-1	0	0	1627.492	0	1627.492	1627.492	0
3	302	301	0	0	0	10	59	0	7	0	0	-1	2	9	0	0	0	0	0	0	0
4	401	402	0	0	0	10	50	0	3	3614.218	1	33	2	3	0	0	0	0	0	0	0
4	402	401	0	0	0	10	42	0	7	0	0	-1	2	-1	0	0	0	0	0	0	0
4	403	0	402	401	0	10	14	3	6	0	0	-1	1	-1	0	0	0	0	0	0	0
4	404	0	402	401	0	10	10	2	6	0	1	-1	1	-1	0	0	0	0	0	0	0
5	501	0	0	0	0	10	86	0	4	0	1	-1	5	-1	0	0	1539.242	0	1539.242	1539.242	0
6	601	0	0	0	0	10	36	0	3	2495.051	1	37	1	7	0	0	0	0	0	0	0
7	701	702	0	0	0	10	64	0	4	0	1	-1	2	-1	0	0	0	0	0	0	0
7	702	701	0	0	0	10	51	0	7	0	0	-1	2	-1	423.2701	0	0	0	0	0	423.2701
7	703	0	702	701	0	10	26	0	5	937.9483	1	-1	1	5	0	0	0	0	0	0	0
8	801	0	0	0	0	10	25	6	5	0	0	-1	1	-1	0	0	0	0	0	0	0
9	901	902	0	0	0	10	52	0	3	2928.078	1	45	2	8	0	0	0	0	0	0	0
9	902	901	0	0	0	10	48	0	7	0	0	-1	2	-1	0	0	0	0	0	0	0
10	1001	1002	0	0	0	10	48	0	3	2733.85	1	37	2	2	0	0	0	0	0	0	0
10	1002	1001	0	0	0	10	42	0	3	2711.126	0	37	2	2	0	0	0	0	0	0	0
11	1101	0	0	0	0	10	24	6	3	994.6108	0	29	1	1	0	0	0	0	0	0	0
12	1201	0	0	0	0	10	24	6	6	0	0	-1	1	-1	0	0	0	0	0	0	0
13	1301	1302	0	0	0	10	40	0	3	8108.625	1	38	2	7	0	0	0	0	0	0	0
13	1302	1301	0	0	0	10	37	0	7	0	0	-1	2	8	0	0	0	0	0	0	0
13	1303	0	1302	1301	0	10	13	3	6	0	0	-1	1	-1	0	0	0	0	0	0	0
13	1304	0	1302	1301	0	10	8	2	6	0	1	-1	1	-1	0	0	0	0	0	0	0
14	1401	0	0	0	0	10	25	0	3	2291.702	0	37	1	3	0	0	0	0	0	0	0
15	1501	0	0	0	0	10	51	0	4	0	0	-1	4	3	0	0	0	0	0	0	0
16	1601	1602	0	0	0	10	47	0	3	3494.136	0	50	2	1	0	0	0	0	0	0	0
16	1602	1601	0	0	0	10	49	0	3	2112.551	1	37	2	8	0	0	0	0	0	0	0
